date,DryBulb,DewPnt,WetBulb,Humidity,ElecPrice,OT
2006-01-01,1541.1500000020953,798.399999998184,1076.7999999987428,2361.4999999692664,2054.92,431870.96166000003
2006-01-02,1001.0499999938532,837.5000000008382,900.3499999984633,3891.5000000349246,781.13,368941.19329
2006-01-03,1109.9000000019557,798.349999998603,920.2999999995809,3348.999999980442,2105.47,415893.52335000003
2006-01-04,974.999999999581,723.5500000032131,826.5000000015367,3449.5000000209548,814.0,386890.85835
2006-01-05,940.1500000012572,864.7500000082422,893.200000005588,4354.500000037719,793.71,387930.46831
2006-01-06,1069.300000002794,900.9999999990221,962.7000000002794,3896.499999981839,812.52,398036.03837
2006-01-07,1082.6500000002793,856.1499999987427,941.3999999994412,3632.499999990221,762.67,365796.19163
2006-01-08,1129.5999999988824,858.6000000009778,960.0000000002794,3420.000000009779,780.68,362532.73168
2006-01-09,1153.1000000046101,984.20000000461,1042.5500000043307,3905.500000002794,948.35,424539.45166
2006-01-10,1218.5500000015368,1055.199999999022,1108.6999999998602,3929.999999987427,1581.09,468223.79499
2006-01-11,1217.6499999939929,1013.750000000419,1082.3499999981839,3780.0000000307336,1524.68,467836.08665
2006-01-12,1127.8000000044703,993.4000000019557,1039.750000002375,4060.99999998603,1206.05,439892.78667
2006-01-13,1133.2000000001397,974.9999999956693,1031.0499999973458,3937.4999999734573,953.7,424815.35332
2006-01-14,1164.1500000009778,1007.7999999988824,1059.8499999994413,3971.499999990221,1008.02,414519.67162
2006-01-15,1072.7999999974854,857.3500000001397,939.5999999993015,3671.000000015367,754.82,367787.55334
2006-01-16,1089.5500000037719,1027.200000005029,1047.65000000461,4445.500000006985,860.04,433319.8683
2006-01-17,1121.3000000043307,1000.6999999948312,1041.8999999981838,4155.499999949709,888.52,436760.62835
2006-01-18,1002.9499999949709,834.3499999909196,899.3999999927357,3869.4999999748543,784.06,412081.18668
2006-01-19,1016.1500000053086,752.3499999980443,858.9000000009779,3416.4999999664724,1003.04,407232.93334
2006-01-20,1106.250000000419,812.9500000012573,926.0500000008382,3309.000000001397,1077.06,416264.12667
2006-01-21,1160.1000000030733,917.1500000036322,1003.7500000033527,3550.500000004191,2210.47,417311.50334
2006-01-22,1171.799999998603,951.0499999980442,1028.5999999981839,3670.499999998603,1759.56,417936.20999
2006-01-23,1178.8000000022353,984.7500000048894,1051.0500000036322,3776.000000018161,5116.1900000000005,485960.29664
2006-01-24,1034.649999993015,891.1499999923166,944.6999999927357,4003.499999997206,1082.07,436197.65335
2006-01-25,979.4000000026542,836.8,892.3500000008382,4012.499999984633,1102.24,415077.31333
2006-01-26,1103.1500000016763,928.1000000061467,990.8000000043306,3844.0000000237487,1113.39,393272.03502
2006-01-27,1175.1499999986029,984.999999997206,1050.3499999979044,3802.999999990221,1883.81,455268.63501
2006-01-28,1186.450000000978,881.5999999993015,993.6499999998604,3316.999999993015,945.3,410118.395
2006-01-29,1168.749999996368,873.1999999994413,982.5499999980442,3353.000000011176,1030.94,395095.035
2006-01-30,1165.9500000020955,922.8500000029337,1009.2500000022352,3572.500000004191,1209.91,465110.98665
2006-01-31,1041.2499999993015,870.8500000012573,934.2500000008382,3869.500000006985,967.5600000000001,435704.09501
2006-02-01,1203.7500000071245,1014.1500000033527,1077.20000000461,3827.499999983236,2042.33,490987.15334
2006-02-02,1244.999999994971,1073.4499999949708,1128.1999999948312,3901.500000001397,58225.73,504037.80999
2006-02-03,1048.1999999994412,933.750000000419,975.3000000001397,4152.500000005588,1031.92,445443.74667
2006-02-04,1046.2499999980441,841.399999994412,919.749999995809,3697.499999983236,790.4,383114.83666000003
2006-02-05,1087.2000000071246,816.1500000097789,919.9000000083819,3411.000000012573,818.88,371100.08168
2006-02-06,1187.7000000033527,940.0999999988824,1025.8500000004192,3555.499999981839,1516.66,469346.65332
2006-02-07,997.8499999941326,575.3499999884051,763.1499999917578,2763.9999999720603,799.8199999999999,411765.40004
2006-02-08,1045.550000001816,622.8000000121538,804.5000000068452,2793.5000000377186,787.0,415923.53667
2006-02-09,1185.8500000005588,830.1999999882653,965.59999999539,3104.9999999552965,858.35,454910.06663
2006-02-10,1028.0999999969267,616.3999999997206,793.4999999984633,2817.500000006985,800.38,415080.79997
2006-02-11,1095.6000000047497,709.5500000124332,866.9500000086613,2948.5000000335276,757.9300000000001,377251.36334
2006-02-12,1192.0500000005588,977.300000006007,1051.3000000037719,3681.5000000293367,802.54,394401.42167
2006-02-13,1122.24999999539,872.2499999886844,966.8999999917578,3568.4999999720603,875.89,439663.41833
2006-02-14,1067.200000003213,803.4500000029336,905.750000002794,3416.500000001397,874.83,423177.75002
2006-02-15,1131.6000000026543,937.3500000002794,1006.9000000009779,3766.49999998603,995.62,430766.17999
2006-02-16,1118.0999999984633,938.89999999539,1002.5499999966472,3861.999999988824,1150.71,434603.72002
2006-02-17,1198.9500000082421,858.0499999920372,983.5499999988824,3219.9999999413267,1766.15,458498.09833
2006-02-18,1264.8000000057277,942.8000000097788,1055.2000000075436,3252.0000000293367,1200.2,429683.88501
2006-02-19,1235.4500000008381,1051.250000003772,1111.4500000026542,3860.000000008382,1070.44,413644.47835
2006-02-20,1112.79999999539,975.2999999937136,1024.0999999945518,4034.999999990221,1039.57,437520.96501
2006-02-21,1156.4500000012572,859.4000000006985,970.4500000008381,3316.999999995809,1172.96,440741.86335
2006-02-22,1114.549999996368,855.9999999977648,953.2499999973458,3495.000000005588,1080.1,435610.44999
2006-02-23,1163.5499999987428,858.7000000033528,972.3000000013969,3267.0000000223517,1139.3600000000001,434739.71004
